FID	IID
Arm13	Arm13
Arm15	Arm15
Arm19	Arm19
Arm2	Arm2
Arm20	Arm20
Arm21	Arm21
Arm27	Arm27
Arm29	Arm29
Arm32	Arm32
Arm33	Arm33
Arm35	Arm35
Arm36	Arm36
Arm40	Arm40
Arm42	Arm42
Arm49	Arm49
Arm5	Arm5
Arm57	Arm57
Arm60	Arm60
Arm64	Arm64
Arm65	Arm65
Arm66	Arm66
Arm69	Arm69
Arm79	Arm79
Arm8	Arm8
Arm82	Arm82
AZ29	AZ29
AZ31	AZ31
AZ41	AZ41
Arm9	Arm9
Arm92	Arm92
Arm34	Arm34
Arm17	Arm17
Arm39	Arm39
Arm77	Arm77
Arm52	Arm52
Arm31	Arm31
Arm58	Arm58
Arm54	Arm54
Arm47	Arm47
Arm24	Arm24
Arm16	Arm16
Arm53	Arm53
Arm44	Arm44
AZ48	AZ48
Arm61	Arm61
Arm43	Arm43
Arm95	Arm95
Arm3	Arm3
Arm55	Arm55
Arm93	Arm93
Arm18	Arm18
Arm81	Arm81
Arm56	Arm56
Arm51	Arm51
Arm41	Arm41
Arm63	Arm63
Arm10	Arm10
Arm72	Arm72
Arm59	Arm59
Arm94	Arm94
Arm25	Arm25
Arm74	Arm74
VA71	VA71
Arm62	Arm62
Arm7	Arm7
Arm26	Arm26
VA54	VA54
VA67	VA67
Arm6	Arm6
Arm23	Arm23
Arm12	Arm12
Arm38	Arm38
VA66	VA66
ARM90	ARM90
Arm14	Arm14
Arm67	Arm67
Arm83	Arm83
Arm11	Arm11
Arm86	Arm86
Arm78	Arm78
Arm87	Arm87
Arm22	Arm22
Arm37	Arm37
Arm84	Arm84
Arm70	Arm70
VA40	VA40
Arm91	Arm91
Arm80	Arm80
Arm75	Arm75
Arm88	Arm88
VA68	VA68
Arm48	Arm48
Arm30	Arm30
Arm85	Arm85
Arm28	Arm28
Arm45	Arm45
VA48	VA48
Arm4	Arm4
Arm50	Arm50
Arm1	Arm1
VA47	VA47
Arm68	Arm68
VA60	VA60
VA41	VA41
VA63	VA63
AZ20	AZ20
AZ26	AZ26
AZ28	AZ28
AZ39	AZ39
AZ40	AZ40
AZ46	AZ46
AZ50	AZ50
AZ63	AZ63
AZ70	AZ70
AZ19	AZ19
AZ45	AZ45
AZ43	AZ43
AZ27	AZ27
AZ44	AZ44
AZ36	AZ36
AZ56	AZ56
TU29	TU29
AZ32	AZ32
AZ24	AZ24
AZ42	AZ42
AZ69	AZ69
AZ34	AZ34
AZ23	AZ23
AZ49	AZ49
AZ51	AZ51
AZ21	AZ21
AZ60	AZ60
AZ64	AZ64
AZ47	AZ47
AZ37	AZ37
AZ61	AZ61
GE34	GE34
AZ54	AZ54
GE38	GE38
GA43	GA43
GE4	GE4
GE22	GE22
GA37	GA37
GA42	GA42
GE43	GE43
GA6	GA6
GE5	GE5
GA12	GA12
GE39	GE39
GE18	GE18
GE47	GE47
GE26	GE26
AZ67	AZ67
TU3	TU3
TU8	TU8
TU11	TU11
TU12	TU12
TU14	TU14
TU18	TU18
TU21	TU21
TU22	TU22
TU23	TU23
TU24	TU24
TU46	TU46
TU61	TU61
TU20	TU20
TU57	TU57
TU62	TU62
TU91	TU91
TU10	TU10
TU6	TU6
TU45	TU45
TU78	TU78
TU30	TU30
TU47	TU47
TU15	TU15
TU27	TU27
TU72	TU72
TU49	TU49
TU69	TU69
TU16	TU16
TU67	TU67
TU43	TU43
TU52	TU52
TU84	TU84
TU81	TU81
TU60	TU60
TU33	TU33
TU71	TU71
TU56	TU56
TU66	TU66
TU77	TU77
TU17	TU17
TU2	TU2
TU39	TU39
TU94	TU94
TU54	TU54
TU13	TU13
TU32	TU32
TU7	TU7
TU87	TU87
TU28	TU28
