FID	IID
VA3	VA3
TUD-3	TUD-3
GA18	GA18
VA8	VA8
GA16	GA16
GA14	GA14
GA13	GA13
GA5	GA5
AZ12	AZ12
AZ9	AZ9
VA7	VA7
AZ7	AZ7
AZ4	AZ4
TUD-1	TUD-1
AZ1	AZ1
GA20	GA20
VA5	VA5
VA33	VA33
VA4	VA4
VA16	VA16
VA13	VA13
VA11	VA11
VA12	VA12
VA9	VA9
TUF-20	TUF-20
TUF-21	TUF-21
AZ6	AZ6
AZ3	AZ3
TUF-23	TUF-23
AZ2	AZ2
TUF-22	TUF-22
GA2	GA2
VA25	VA25
TUF-5	TUF-5
TUF-6	TUF-6
VA75	VA75
VA77	VA77
VA42	VA42
GA3	GA3
VA65	VA65
VA76	VA76
TUF-19	TUF-19
TUF-36	TUF-36
GA7	GA7
GA10	GA10
VA1	VA1
AZ8	AZ8
Arm73	Arm73
GA4	GA4
TUF-14	TUF-14
TUF-33	TUF-33
TUF-29	TUF-29
TUF-24	TUF-24
TUF-13	TUF-13
TUF-18	TUF-18
TUF-25	TUF-25
AZ18	AZ18
TUF-8	TUF-8
VA72	VA72
TUF-4	TUF-4
AZ11	AZ11
VA55	VA55
VA64	VA64
TUF-3	TUF-3
VA74	VA74
VA10	VA10
VA37	VA37
AZ15	AZ15
TUF-27	TUF-27
AZ17	AZ17
AZ16	AZ16
VA32	VA32
VA58	VA58
VA22	VA22
AZ13	AZ13
TUF-11	TUF-11
VA31	VA31
TUG-10	TUG-10
TUG-9	TUG-9
TUF-12	TUF-12
VA23	VA23
TUK-3	TUK-3
VA36	VA36
VA26	VA26
TUF-30	TUF-30
GE9	GE9
TUG-12	TUG-12
TUK-6	TUK-6
VA39	VA39
GA1	GA1
GE20	GE20
GA15	GA15
VA45	VA45
VA44	VA44
VA43	VA43
GA47	GA47
VA56	VA56
GE32	GE32
GE24	GE24
Arm89	Arm89
Arm71	Arm71
VA24	VA24
GE27	GE27
GE29	GE29
GE28	GE28
TUK-4	TUK-4
TUF-35	TUF-35
