"Column 1","Variety ID","Genetic background","Utilization","Berry skin color","Flower phenotype","Geographic origin by region","Bunch density","Geographic origin by country","Muscat taste"
"Arm1","Dzrali","V. vinifera ssp. vinifera","wine","blanc","Female","Tavush Province","medium","ARMENIA","NONE"
"Arm10","Spitak Aldara","V. vinifera ssp. vinifera","wine/table","blanc","Hermaphrodite","Syunik Province","medium","ARMENIA","NA"
"Arm11","Eraskheni","V. vinifera ssp. vinifera","wine/table","noir","Hermaphrodite","Ararat Valley","dense","ARMENIA","NONE"
"Arm12","Tavrizeni","V. vinifera ssp. vinifera","wine/table","blanc","Hermaphrodite","Ararat Valley, Tavush Province","dense","ARMENIA","NONE"
"Arm13","Ambari","V. vinifera ssp. vinifera","table","blanc","Female","Tavush Province","loose","ARMENIA","NONE"
"Arm14","Charentsi","interspecific cross","wine","noir","Hermaphrodite","Ararat Valley","medium","ARMENIA","NONE"
"Arm15","Aragatsi","intraspecific cross","table","rose","Female","Ararat Valley","medium","ARMENIA","NONE"
"Arm16","Armenia","intraspecific cross","table","noir","Hermaphrodite","Ararat Valley","medium","ARMENIA","NONE"
"Arm17","Rizamat","V. vinifera ssp. vinifera","table","rose","Hermaphrodite","Ararat Valley","medium","ARMENIA","NONE"
"Arm18","Genotype 32","V. vinifera ssp. vinifera","wine","noir","Female","Syunik Province","medium","ARMENIA","NA"
"Arm19","Mskhali","V. vinifera ssp. vinifera","wine/table","blanc","Hermaphrodite","Ararat Valley,  Kotayq Armavir, Aragatsotn","medium","ARMENIA","NONE"
"Arm2","Nazeli","V. vinifera ssp. vinifera","table/raisin","blanc","Hermaphrodite","Ararat Valley","medium","ARMENIA","NONE"
"Arm20","Vardabuyr","V. vinifera ssp. vinifera","table","rose","Female","Ararat Valley, Vayots Dzor Province","medium","ARMENIA","NONE"
"Arm21","Sev Areni","V. vinifera ssp. vinifera","wine/table","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NONE"
"Arm22","Tozot","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NONE"
"Arm23","Anushik","intraspecific cross","wine/table","noir","Hermaphrodite","Ararat Valley","medium","ARMENIA","MUSCAT"
"Arm24","Itsaptuk","V. vinifera ssp. vinifera","table","blanc","Hermaphrodite","Ararat Valley, Vayots Dzor Province","medium","ARMENIA","NONE"
"Arm25","Shrkhkan","V. vinifera ssp. vinifera","table","blanc","Female","Vayots Dzor Province","medium","ARMENIA","NA"
"Arm26","Eghegnadzori Sev","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NA"
"Arm27","Spitak Arakseni","V. vinifera ssp. vinifera","table/raisin","blanc","Hermaphrodite","Ararat Valley, Armavir, Aragatsotn, Kotayq","medium","ARMENIA","NONE"
"Arm28","Genotype 3","V. vinifera ssp. vinifera","wild","noir","Female","Syunik Province","loose","ARMENIA","NA"
"Arm29","Marmari","V. vinifera ssp. vinifera","table/raisin","blanc","Hermaphrodite","Ararat Valley","dense","ARMENIA","NONE"
"Arm3","Hrushaki","V. vinifera ssp. vinifera","wine/table/raisin","blanc","Hermaphrodite","Ararat Valley, Armavir, Aragatsotn","medium","ARMENIA","NONE"
"Arm30","Genotype 43","V. vinifera ssp. vinifera","feral","blanc/noir","Female","Ararat Valley, Armavir, Aragatsotn","loose","ARMENIA","NA"
"Arm31","Genotype 26","V. vinifera ssp. vinifera","table","blanc","Hermaphrodite","Syunik Province","dense","ARMENIA","NA"
"Arm32","Sev Areni clone km","V. vinifera ssp. vinifera","wine/table","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NONE"
"Arm33","Ushahas Nazeli","intraspecific cross","table","blanc","Hermaphrodite","Armavir Province","medium","ARMENIA","NONE"
"Arm34","Voskehat","V. vinifera ssp. vinifera","wine/table","blanc","Hermaphrodite","Ararat Valley, Vayots Dzor","dense","ARMENIA","NONE"
"Arm35","Movsesi","V. vinifera ssp. vinifera","wine/table","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NONE"
"Arm36","Mormor","V. vinifera ssp. vinifera","wine/table","gris","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NONE"
"Arm37","Sevuk","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Syunik Province","dense","ARMENIA","NA"
"Arm38","Vaghahas Areni","intraspecific cross","wine","noir","Hermaphrodite","Vayots Dzor Province","medium","ARMENIA","NA"
"Arm39","Genotype 30","V. vinifera ssp. vinifera","wine","rose","Hermaphrodite","Syunik Province","medium","ARMENIA","NA"
"Arm4","Dzrali","V. vinifera ssp. vinifera","wine","blanc","Female","Tavush Province","medium","ARMENIA","NONE"
"Arm40","Seyrak Areni","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Vayots Dzor Province","loose","ARMENIA","NA"
"Arm41","Spitak Areni","V. vinifera ssp. vinifera","wine","blanc","Female","Vayots Dzor Province","loose","ARMENIA","NA"
"Arm42","Kishmish sev","V. vinifera ssp. vinifera","table/raisin","noir","Hermaphrodite","Ararat Valley, Aragatsotn","dense","ARMENIA","NONE"
"Arm43","Spitak Arevik","V. vinifera ssp. vinifera","wine/table/raisin","blanc","Female","Syunik Province","medium","ARMENIA","NONE"
"Arm44","Sev Khaghogh 2","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NA"
"Arm45","Zardeni","intraspecific cross","wine","noir","Hermaphrodite","Ararat Valley","medium","ARMENIA","NA"
"Arm47","Genotype 5","V. vinifera ssp. vinifera","wine/table","rose","Hermaphrodite","Syunik Province","dense","ARMENIA","NA"
"Arm48","Khndoghni","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Syunik Province, Artsakh","dense","ARMENIA","NONE"
"Arm49","Mskhali","V. vinifera ssp. vinifera","wine/table","blanc","Hermaphrodite","Vayots Dzor Province","medium","ARMENIA","NONE"
"Arm5","Chragi Erkser","V. vinifera ssp. vinifera","wine/table","noir","Hermaphrodite","Syunik Province","dense","ARMENIA","NONE"
"Arm50","Dzrali","V. vinifera ssp. vinifera","wine","blanc","Female","Tavush Province","medium","ARMENIA","NONE"
"Arm51","Spitak Areni","V. vinifera ssp. vinifera","wine","blanc","Female","Vayots Dzor Province","medium","ARMENIA","NONE"
"Arm52","Spitak Berri","V. vinifera ssp. vinifera","wine","blanc","Hermaphrodite","Ararat Valley, Armavir","dense","ARMENIA","NONE"
"Arm53","Garan Dmak","V. vinifera ssp. vinifera","wine/table","blanc","Hermaphrodite","Ararat Valley, Armavir","dense","ARMENIA","NONE"
"Arm54","Sev Khardji","V. vinifera ssp. vinifera","wine","noir","Hermaphrodite","Vayots Dzor Province","dense","ARMENIA","NONE"
