FID	IID
GA15	GA15
GA17	GA17
TUD-1	TUD-1
TUD-3	TUD-3
TUF-5	TUF-5
TUF-6	TUF-6
TUF-19	TUF-19
TUF-22	TUF-22
TUF-23	TUF-23
TUF-36	TUF-36
TUF-20	TUF-20
TUF-21	TUF-21
TUF-29	TUF-29
TUF-13	TUF-13
TUF-24	TUF-24
TUF-14	TUF-14
TUF-25	TUF-25
TUF-18	TUF-18
TUF-4	TUF-4
TUF-33	TUF-33
TUF-11	TUF-11
TUF-8	TUF-8
TUF-27	TUF-27
TUF-3	TUF-3
TUF-12	TUF-12
TUF-30	TUF-30
TUF-35	TUF-35
TUG-10	TUG-10
TUG-9	TUG-9
TUG-12	TUG-12
TUG-19	TUG-19
TUG-20	TUG-20
TUF-16	TUF-16
TUK-6	TUK-6
TUK-3	TUK-3
TUG-21	TUG-21
TUK-9	TUK-9
TUG-29	TUG-29
TUK-5	TUK-5
TUG-25	TUG-25
TUK-4	TUK-4
TUG-4	TUG-4
TUK-7	TUK-7
TUK-8	TUK-8
TUS-1	TUS-1
TUF-17	TUF-17
TUF-1	TUF-1
TUG-22	TUG-22
TU97	TU97
TU85	TU85
Arm21	Arm21
Arm32	Arm32
Arm34	Arm34
Arm36	Arm36
Arm40	Arm40
Arm92	Arm92
Arm35	Arm35
Arm53	Arm53
Arm60	Arm60
Arm57	Arm57
Arm5	Arm5
Arm47	Arm47
Arm61	Arm61
Arm43	Arm43
Arm52	Arm52
Arm58	Arm58
Arm44	Arm44
Arm54	Arm54
Arm51	Arm51
Arm95	Arm95
Arm41	Arm41
Arm66	Arm66
Arm59	Arm59
AZ48	AZ48
VA71	VA71
Arm10	Arm10
Arm56	Arm56
Arm39	Arm39
VA54	VA54
Arm63	Arm63
VA67	VA67
Arm81	Arm81
Arm6	Arm6
Arm7	Arm7
Arm67	Arm67
Arm31	Arm31
Arm83	Arm83
Arm70	Arm70
Arm18	Arm18
Arm62	Arm62
Arm26	Arm26
VA66	VA66
Arm30	Arm30
Arm38	Arm38
VA40	VA40
Arm25	Arm25
Arm22	Arm22
Arm82	Arm82
Arm85	Arm85
Arm93	Arm93
Arm14	Arm14
Arm75	Arm75
Arm48	Arm48
VA68	VA68
Arm78	Arm78
Arm86	Arm86
Arm80	Arm80
ARM90	ARM90
Arm84	Arm84
Arm88	Arm88
Arm87	Arm87
Arm55	Arm55
Arm27	Arm27
Arm65	Arm65
Arm68	Arm68
Arm74	Arm74
Arm72	Arm72
VA48	VA48
VA41	VA41
Arm28	Arm28
Arm3	Arm3
Arm12	Arm12
Arm45	Arm45
VA63	VA63
Arm37	Arm37
VA47	VA47
VA60	VA60
Arm11	Arm11
Arm91	Arm91
Arm16	Arm16
Arm23	Arm23
VA28	VA28
AZ43	AZ43
AZ46	AZ46
TU29	TU29
AZ42	AZ42
AZ64	AZ64
