comparison	group_a	group_b	n_sites	n_sites_used	mean_fst	median_fst	max_fst	weighted_fst
K1_vs_K2	K1	K2	814885	746454	0.094182	0.050824	1.000000	0.121110
K1_vs_K3	K1	K3	814885	702572	0.140380	0.087980	1.000000	0.186850
K1_vs_K4	K1	K4	814885	692143	0.106344	0.055550	1.000000	0.131140
K1_vs_K5	K1	K5	814885	779947	0.094419	0.038908	1.000000	0.129550
K1_vs_K6	K1	K6	814885	799180	0.088894	0.038722	1.000000	0.111540
K1_vs_K7	K1	K7	814885	707210	0.084646	0.033248	1.000000	0.104630
K2_vs_K3	K2	K3	814885	758811	0.110617	0.049593	1.000000	0.155590
K2_vs_K4	K2	K4	814885	750837	0.083350	0.032573	1.000000	0.106140
K2_vs_K5	K2	K5	814885	791570	0.071133	0.028045	0.961489	0.098616
K2_vs_K6	K2	K6	814885	805606	0.061050	0.022109	0.908337	0.075811
K2_vs_K7	K2	K7	814885	761150	0.075278	0.034117	1.000000	0.096069
K3_vs_K4	K3	K4	814885	697540	0.121491	0.055551	1.000000	0.162810
K3_vs_K5	K3	K5	814885	779277	0.113919	0.046461	1.000000	0.169550
K3_vs_K6	K3	K6	814885	784947	0.075468	0.026632	0.931699	0.104500
K3_vs_K7	K3	K7	814885	736904	0.119991	0.057343	1.000000	0.164750
K4_vs_K5	K4	K5	814885	781356	0.100219	0.041495	0.976901	0.138760
K4_vs_K6	K4	K6	814885	787949	0.061081	0.020050	0.890089	0.075711
K4_vs_K7	K4	K7	814885	730758	0.096469	0.044442	1.000000	0.123400
K5_vs_K6	K5	K6	814885	805115	0.073643	0.029195	0.910564	0.103090
K5_vs_K7	K5	K7	814885	788687	0.079959	0.030252	0.979263	0.108900
K6_vs_K7	K6	K7	814885	804848	0.074125	0.030422	0.968346	0.091102
