FID	IID	K1	K2	K3	K4	K5	K6	K7	max_q	assignment
Arm1	Arm1	0.000010	0.494399	0.000014	0.505547	0.000010	0.000010	0.000010	0.505547	admixed
Arm10	Arm10	0.032580	0.000010	0.076696	0.615099	0.000010	0.266869	0.008736	0.615099	admixed
Arm11	Arm11	0.014174	0.085292	0.188248	0.119192	0.003421	0.462363	0.127310	0.462363	admixed
Arm12	Arm12	0.005692	0.062961	0.236054	0.622126	0.000010	0.073147	0.000010	0.622126	admixed
Arm13	Arm13	0.000010	0.000010	0.561626	0.130046	0.000010	0.308288	0.000010	0.561626	admixed
Arm14	Arm14	0.000010	0.010855	0.131733	0.000010	0.152746	0.662292	0.042354	0.662292	admixed
Arm15	Arm15	0.000011	0.000010	0.944088	0.000010	0.000010	0.055861	0.000010	0.944088	K3
Arm16	Arm16	0.000010	0.015231	0.410817	0.096260	0.028792	0.448880	0.000010	0.448880	admixed
Arm17	Arm17	0.041512	0.000010	0.451404	0.036639	0.000010	0.470415	0.000010	0.470415	admixed
Arm18	Arm18	0.000010	0.000010	0.208699	0.235032	0.007396	0.513101	0.035752	0.513101	admixed
Arm19	Arm19	0.000010	0.000010	0.548729	0.000010	0.000010	0.451221	0.000010	0.548729	admixed
Arm2	Arm2	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010	0.000010	0.999940	K3
Arm20	Arm20	0.000010	0.000010	0.641441	0.090180	0.000010	0.268338	0.000010	0.641441	admixed
Arm21	Arm21	0.000010	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.999940	K6
Arm22	Arm22	0.033462	0.000010	0.089097	0.322270	0.082139	0.404354	0.068668	0.404354	admixed
Arm23	Arm23	0.014677	0.030342	0.327213	0.064859	0.125584	0.437314	0.000010	0.437314	admixed
Arm24	Arm24	0.000010	0.000010	0.549718	0.000010	0.035505	0.414736	0.000010	0.549718	admixed
Arm25	Arm25	0.052310	0.000010	0.203591	0.205813	0.018562	0.497548	0.022166	0.497548	admixed
Arm26	Arm26	0.059777	0.000010	0.174747	0.267161	0.016296	0.438303	0.043705	0.438303	admixed
Arm27	Arm27	0.000010	0.000010	0.356198	0.000010	0.000010	0.643752	0.000010	0.643752	admixed
Arm28	Arm28	0.012119	0.000010	0.086370	0.293108	0.093876	0.275445	0.239071	0.293108	admixed
Arm29	Arm29	0.000015	0.000010	0.999935	0.000010	0.000010	0.000010	0.000010	0.999935	K3
Arm3	Arm3	0.000010	0.000010	0.358086	0.344068	0.000010	0.297806	0.000010	0.358086	admixed
Arm30	Arm30	0.000010	0.000010	0.000010	0.546055	0.004905	0.204901	0.244109	0.546055	admixed
Arm31	Arm31	0.000010	0.000010	0.217024	0.219221	0.000010	0.545771	0.017955	0.545771	admixed
Arm32	Arm32	0.000010	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.999940	K6
Arm33	Arm33	0.000010	0.000010	0.616732	0.333223	0.000010	0.050005	0.000010	0.616732	admixed
Arm34	Arm34	0.000010	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.999940	K6
Arm35	Arm35	0.000010	0.000010	0.053924	0.420134	0.000010	0.525901	0.000010	0.525901	admixed
Arm36	Arm36	0.000010	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.999940	K6
Arm37	Arm37	0.007331	0.075472	0.183848	0.002922	0.155484	0.549081	0.025862	0.549081	admixed
Arm38	Arm38	0.000010	0.033038	0.114682	0.049965	0.132674	0.660081	0.009551	0.660081	admixed
Arm39	Arm39	0.000010	0.000010	0.149883	0.534301	0.000010	0.315776	0.000010	0.534301	admixed
Arm4	Arm4	0.000010	0.496343	0.000010	0.503607	0.000010	0.000010	0.000010	0.503607	admixed
Arm40	Arm40	0.000010	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.999940	K6
Arm41	Arm41	0.009603	0.000010	0.064025	0.227003	0.006041	0.664713	0.028605	0.664713	admixed
Arm42	Arm42	0.000010	0.000010	0.999930	0.000010	0.000020	0.000010	0.000010	0.999930	K3
Arm43	Arm43	0.000010	0.000010	0.034102	0.554305	0.000010	0.411553	0.000010	0.554305	admixed
Arm44	Arm44	0.021042	0.000010	0.036210	0.435641	0.000010	0.507077	0.000010	0.507077	admixed
Arm45	Arm45	0.016726	0.170838	0.018659	0.194416	0.000010	0.401891	0.197460	0.401891	admixed
Arm47	Arm47	0.000010	0.000010	0.034659	0.437072	0.000010	0.528229	0.000010	0.528229	admixed
Arm48	Arm48	0.136085	0.000010	0.023209	0.454771	0.024542	0.242270	0.119113	0.454771	admixed
Arm49	Arm49	0.000010	0.000010	0.546648	0.000010	0.000010	0.453302	0.000010	0.546648	admixed
Arm5	Arm5	0.000010	0.000010	0.062035	0.478138	0.000010	0.459787	0.000010	0.478138	admixed
Arm50	Arm50	0.000010	0.501917	0.000010	0.498033	0.000010	0.000010	0.000010	0.501917	admixed
Arm51	Arm51	0.010184	0.000010	0.062433	0.226227	0.006715	0.667715	0.026717	0.667715	admixed
Arm52	Arm52	0.003765	0.000010	0.051875	0.126888	0.000010	0.817442	0.000010	0.817442	K6
Arm53	Arm53	0.013244	0.000010	0.015831	0.101990	0.000010	0.868906	0.000010	0.868906	K6
Arm54	Arm54	0.000972	0.000010	0.072097	0.098771	0.000010	0.807680	0.020460	0.807680	K6
Arm55	Arm55	0.041845	0.000010	0.342715	0.312602	0.000010	0.302808	0.000010	0.342715	admixed
Arm56	Arm56	0.027153	0.000010	0.099599	0.209092	0.007691	0.635090	0.021365	0.635090	admixed
Arm57	Arm57	0.000010	0.000010	0.060735	0.474331	0.000010	0.464894	0.000010	0.474331	admixed
Arm58	Arm58	0.009932	0.000010	0.054400	0.131686	0.002667	0.801295	0.000010	0.801295	K6
Arm59	Arm59	0.000011	0.000010	0.000010	0.999939	0.000010	0.000010	0.000010	0.999939	K4
Arm6	Arm6	0.000010	0.000010	0.088789	0.011167	0.107432	0.762005	0.030587	0.762005	K6
Arm60	Arm60	0.000010	0.000010	0.053497	0.348103	0.000010	0.598361	0.000010	0.598361	admixed
Arm61	Arm61	0.000010	0.000010	0.032873	0.555526	0.000010	0.411561	0.000010	0.555526	admixed
Arm62	Arm62	0.056357	0.000010	0.173509	0.264751	0.016715	0.445963	0.042695	0.445963	admixed
Arm63	Arm63	0.000010	0.000010	0.103224	0.204302	0.030864	0.637198	0.024392	0.637198	admixed
Arm64	Arm64	0.000010	0.000010	0.594884	0.125636	0.000010	0.279440	0.000010	0.594884	admixed
Arm65	Arm65	0.000010	0.000010	0.354989	0.000010	0.000010	0.644961	0.000010	0.644961	admixed
Arm66	Arm66	0.004841	0.000010	0.124325	0.212262	0.000010	0.658542	0.000010	0.658542	admixed
Arm67	Arm67	0.059839	0.000010	0.038853	0.318155	0.011817	0.448710	0.122615	0.448710	admixed
Arm68	Arm68	0.064749	0.000049	0.000010	0.268976	0.077557	0.327479	0.261179	0.327479	admixed
Arm69	Arm69	0.000010	0.000010	0.676948	0.000010	0.000010	0.323002	0.000010	0.676948	admixed
Arm7	Arm7	0.000010	0.000010	0.043310	0.590859	0.021570	0.344231	0.000010	0.590859	admixed
Arm70	Arm70	0.046536	0.000010	0.029952	0.399062	0.044305	0.334406	0.145729	0.399062	admixed
Arm71	Arm71	0.131236	0.060296	0.043849	0.000010	0.079705	0.080837	0.604067	0.604067	admixed
Arm72	Arm72	0.000010	0.000010	0.311483	0.044612	0.088346	0.542934	0.012606	0.542934	admixed
Arm73	Arm73	0.137480	0.051503	0.000010	0.000010	0.052371	0.000010	0.758616	0.758616	K7
Arm74	Arm74	0.022820	0.015993	0.273278	0.000010	0.076189	0.611699	0.000010	0.611699	admixed
Arm75	Arm75	0.067783	0.086291	0.043543	0.018309	0.169745	0.614319	0.000010	0.614319	admixed
Arm76	Arm76	0.000010	0.194881	0.048188	0.227163	0.233255	0.078064	0.218440	0.233255	admixed
Arm77	Arm77	0.000010	0.000010	0.681999	0.317951	0.000010	0.000010	0.000010	0.681999	admixed
Arm78	Arm78	0.000010	0.058569	0.113792	0.139055	0.174714	0.513851	0.000010	0.513851	admixed
Arm79	Arm79	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010	0.000010	0.999940	K3
Arm8	Arm8	0.000010	0.000010	0.579114	0.112692	0.000010	0.308154	0.000010	0.579114	admixed
Arm80	Arm80	0.000010	0.040594	0.068498	0.156682	0.248723	0.485483	0.000010	0.485483	admixed
Arm81	Arm81	0.000010	0.003609	0.121399	0.219158	0.042616	0.613198	0.000010	0.613198	admixed
Arm82	Arm82	0.000010	0.000010	0.346544	0.298476	0.000010	0.354939	0.000010	0.354939	admixed
Arm83	Arm83	0.039992	0.027204	0.070957	0.239826	0.019260	0.484900	0.117860	0.484900	admixed
Arm84	Arm84	0.038528	0.027087	0.113769	0.030111	0.153952	0.612793	0.023760	0.612793	admixed
Arm85	Arm85	0.037654	0.027507	0.000010	0.390529	0.019140	0.283008	0.242153	0.390529	admixed
Arm86	Arm86	0.000010	0.059885	0.112891	0.136727	0.175298	0.515179	0.000010	0.515179	admixed
Arm87	Arm87	0.027086	0.053574	0.129506	0.038888	0.154434	0.589021	0.007492	0.589021	admixed
Arm88	Arm88	0.083296	0.009407	0.074793	0.232100	0.059089	0.380257	0.161058	0.380257	admixed
Arm89	Arm89	0.589676	0.033425	0.027175	0.012261	0.013022	0.072656	0.251784	0.589676	admixed
Arm9	Arm9	0.053932	0.000010	0.512833	0.264441	0.000010	0.168764	0.000010	0.512833	admixed
ARM90	ARM90	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010	0.999940	K4
Arm91	Arm91	0.009774	0.083478	0.161131	0.000010	0.215613	0.529984	0.000010	0.529984	admixed
Arm92	Arm92	0.000010	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.999940	K6
Arm93	Arm93	0.000010	0.000010	0.229961	0.000010	0.064340	0.704443	0.001226	0.704443	admixed
Arm94	Arm94	0.000010	0.047713	0.406245	0.000010	0.086028	0.459984	0.000010	0.459984	admixed
