replicate	comparison	group_a	group_b	mean_fst	weighted_fst
1	K1_vs_K2	K1	K2	0.093206	0.119540
1	K1_vs_K3	K1	K3	0.141780	0.188470
1	K1_vs_K4	K1	K4	0.104490	0.129230
1	K1_vs_K5	K1	K5	0.096700	0.133110
1	K1_vs_K6	K1	K6	0.086574	0.113760
1	K1_vs_K7	K1	K7	0.081336	0.099695
1	K2_vs_K3	K2	K3	0.114240	0.161160
1	K2_vs_K4	K2	K4	0.081543	0.104780
1	K2_vs_K5	K2	K5	0.069950	0.101560
1	K2_vs_K6	K2	K6	0.053595	0.073122
1	K2_vs_K7	K2	K7	0.071282	0.092901
1	K3_vs_K4	K3	K4	0.123290	0.165500
1	K3_vs_K5	K3	K5	0.121490	0.182540
1	K3_vs_K6	K3	K6	0.081954	0.115620
1	K3_vs_K7	K3	K7	0.122000	0.167810
1	K4_vs_K5	K4	K5	0.101920	0.144920
1	K4_vs_K6	K4	K6	0.060857	0.078448
1	K4_vs_K7	K4	K7	0.095369	0.122610
1	K5_vs_K6	K5	K6	0.069410	0.105530
1	K5_vs_K7	K5	K7	0.077565	0.109940
1	K6_vs_K7	K6	K7	0.066883	0.089597
2	K1_vs_K2	K1	K2	0.091063	0.117510
2	K1_vs_K3	K1	K3	0.142530	0.190130
2	K1_vs_K4	K1	K4	0.104890	0.130530
2	K1_vs_K5	K1	K5	0.092463	0.128150
2	K1_vs_K6	K1	K6	0.085491	0.112140
2	K1_vs_K7	K1	K7	0.082110	0.102980
2	K2_vs_K3	K2	K3	0.112950	0.160030
2	K2_vs_K4	K2	K4	0.081013	0.104350
2	K2_vs_K5	K2	K5	0.063072	0.091896
2	K2_vs_K6	K2	K6	0.052131	0.070693
2	K2_vs_K7	K2	K7	0.069610	0.091503
2	K3_vs_K4	K3	K4	0.123290	0.165500
2	K3_vs_K5	K3	K5	0.117410	0.176790
2	K3_vs_K6	K3	K6	0.079257	0.111060
2	K3_vs_K7	K3	K7	0.121950	0.169110
2	K4_vs_K5	K4	K5	0.097822	0.139080
2	K4_vs_K6	K4	K6	0.060781	0.077977
2	K4_vs_K7	K4	K7	0.094280	0.122200
2	K5_vs_K6	K5	K6	0.065747	0.100070
2	K5_vs_K7	K5	K7	0.074742	0.106530
2	K6_vs_K7	K6	K7	0.065805	0.088286
3	K1_vs_K2	K1	K2	0.093575	0.120110
3	K1_vs_K3	K1	K3	0.139040	0.185320
3	K1_vs_K4	K1	K4	0.104840	0.129390
3	K1_vs_K5	K1	K5	0.096064	0.131950
3	K1_vs_K6	K1	K6	0.088437	0.114080
3	K1_vs_K7	K1	K7	0.080259	0.099445
3	K2_vs_K3	K2	K3	0.113200	0.160580
3	K2_vs_K4	K2	K4	0.082702	0.106770
3	K2_vs_K5	K2	K5	0.071962	0.104720
3	K2_vs_K6	K2	K6	0.057805	0.077267
3	K2_vs_K7	K2	K7	0.071226	0.093852
3	K3_vs_K4	K3	K4	0.121070	0.163600
3	K3_vs_K5	K3	K5	0.119260	0.179800
3	K3_vs_K6	K3	K6	0.082653	0.115170
3	K3_vs_K7	K3	K7	0.119860	0.166560
3	K4_vs_K5	K4	K5	0.102910	0.145830
3	K4_vs_K6	K4	K6	0.064394	0.081648
3	K4_vs_K7	K4	K7	0.095236	0.123580
3	K5_vs_K6	K5	K6	0.072818	0.108650
3	K5_vs_K7	K5	K7	0.077098	0.109990
3	K6_vs_K7	K6	K7	0.070639	0.094328
4	K1_vs_K2	K1	K2	0.094138	0.122660
4	K1_vs_K3	K1	K3	0.141070	0.190240
4	K1_vs_K4	K1	K4	0.104140	0.131030
4	K1_vs_K5	K1	K5	0.096717	0.137110
4	K1_vs_K6	K1	K6	0.083848	0.111160
4	K1_vs_K7	K1	K7	0.081342	0.103170
4	K2_vs_K3	K2	K3	0.115530	0.162230
4	K2_vs_K4	K2	K4	0.084706	0.109010
4	K2_vs_K5	K2	K5	0.072316	0.105910
4	K2_vs_K6	K2	K6	0.055931	0.075620
4	K2_vs_K7	K2	K7	0.073449	0.096181
4	K3_vs_K4	K3	K4	0.123290	0.165500
4	K3_vs_K5	K3	K5	0.122370	0.185530
4	K3_vs_K6	K3	K6	0.081201	0.113340
4	K3_vs_K7	K3	K7	0.122250	0.169220
