comparison	group_a	group_b	n_replicates	equal_n_mean	equal_n_sd	equal_n_min	equal_n_max	full_group_fst	size_a	size_b	smaller_group	mean_group_size	change	Hs	implied_Ht
K1_vs_K3	K1	K3	10	0.140754	0.002944	0.136550	0.145790	0.140380	15	13	13	14.000000	0.000374	0.230478	0.268233
K3_vs_K4	K3	K4	10	0.121824	0.001913	0.118920	0.124760	0.121491	13	12	12	12.500000	0.000333	0.230865	0.262892
K3_vs_K7	K3	K7	10	0.120717	0.001833	0.117450	0.123610	0.119991	13	17	13	15.000000	0.000726	0.235176	0.267464
K3_vs_K5	K3	K5	10	0.118867	0.003145	0.113260	0.122370	0.113919	13	32	13	22.500000	0.004948	0.231560	0.262798
K2_vs_K3	K2	K3	10	0.113767	0.001907	0.110420	0.116690	0.110617	22	13	13	17.500000	0.003150	0.232705	0.262578
K1_vs_K4	K1	K4	10	0.105006	0.001376	0.103740	0.108090	0.106344	15	12	12	13.500000	-0.001338	0.239916	0.268064
K4_vs_K5	K4	K5	10	0.100906	0.002685	0.096761	0.103610	0.100219	12	32	12	22.000000	0.000687	0.240997	0.268044
K1_vs_K5	K1	K5	10	0.095619	0.002728	0.090488	0.099793	0.094419	15	32	15	23.500000	0.001200	0.240611	0.266050
K4_vs_K7	K4	K7	10	0.095164	0.000782	0.094280	0.097065	0.096469	12	17	12	14.500000	-0.001305	0.244614	0.270341
K1_vs_K2	K1	K2	10	0.094355	0.001929	0.091063	0.097377	0.094182	15	22	15	18.500000	0.000173	0.241756	0.266944
K1_vs_K6	K1	K6	10	0.087066	0.002520	0.083124	0.091436	0.088894	15	49	15	32.000000	-0.001828	0.243889	0.267148
K2_vs_K4	K2	K4	10	0.083452	0.001884	0.081013	0.087279	0.083350	22	12	12	17.000000	0.000102	0.242143	0.264190
K1_vs_K7	K1	K7	10	0.082237	0.001925	0.080216	0.085483	0.084646	15	17	15	16.000000	-0.002409	0.244227	0.266111
K3_vs_K6	K3	K6	10	0.080137	0.002589	0.075325	0.082653	0.075468	13	49	13	31.000000	0.004669	0.234838	0.255297
K5_vs_K7	K5	K7	10	0.076622	0.001981	0.073416	0.079070	0.079959	32	17	17	24.500000	-0.003337	0.245308	0.265664
K2_vs_K7	K2	K7	10	0.072019	0.001596	0.069610	0.075417	0.075278	22	17	17	19.500000	-0.003259	0.246454	0.265581
K5_vs_K6	K5	K6	10	0.069459	0.003637	0.062907	0.074120	0.073643	32	49	32	40.500000	-0.004184	0.244970	0.263256
K2_vs_K5	K2	K5	10	0.069396	0.003318	0.063072	0.072463	0.071133	22	32	22	27.000000	-0.001737	0.242837	0.260946
K6_vs_K7	K6	K7	10	0.067570	0.001944	0.065202	0.070639	0.074125	49	17	17	33.000000	-0.006555	0.248587	0.266601
K4_vs_K6	K4	K6	10	0.062186	0.001833	0.060170	0.065683	0.061081	12	49	12	30.500000	0.001105	0.244276	0.260474
K2_vs_K6	K2	K6	10	0.055697	0.002441	0.052131	0.060586	0.061050	22	49	22	35.500000	-0.005353	0.246116	0.260632
