scope	replicate	group	pi
full	0	K1	0.23952933
full	0	K2	0.24398313
full	0	K3	0.2214276
full	0	K4	0.24030275
full	0	K5	0.24169179
full	0	K6	0.24824862
full	0	K7	0.24892514
equal_n	1	K1	0.24233601
equal_n	1	K2	0.24509752
equal_n	1	K3	0.22000774
equal_n	1	K4	0.24030275
equal_n	1	K5	0.24049869
equal_n	1	K6	0.24798372
equal_n	1	K7	0.2496914
equal_n	2	K1	0.24120284
equal_n	2	K2	0.24551418
equal_n	2	K3	0.22000774
equal_n	2	K4	0.24030275
equal_n	2	K5	0.24278593
equal_n	2	K6	0.24952088
equal_n	2	K7	0.25095418
equal_n	3	K1	0.24263259
equal_n	3	K2	0.24447011
equal_n	3	K3	0.22088232
equal_n	3	K4	0.24030275
equal_n	3	K5	0.24168967
equal_n	3	K6	0.25097308
equal_n	3	K7	0.25182994
equal_n	4	K1	0.23897575
equal_n	4	K2	0.24562106
equal_n	4	K3	0.22000774
equal_n	4	K4	0.24030275
equal_n	4	K5	0.23800395
equal_n	4	K6	0.25240282
equal_n	4	K7	0.25129501
equal_n	5	K1	0.23829835
equal_n	5	K2	0.24550222
equal_n	5	K3	0.22063423
equal_n	5	K4	0.24030275
equal_n	5	K5	0.23926929
equal_n	5	K6	0.25265683
equal_n	5	K7	0.25058045
equal_n	6	K1	0.23972406
equal_n	6	K2	0.24481836
equal_n	6	K3	0.2243383
equal_n	6	K4	0.24030275
equal_n	6	K5	0.24212409
equal_n	6	K6	0.24771101
equal_n	6	K7	0.24845719
equal_n	7	K1	0.24000886
equal_n	7	K2	0.24698294
equal_n	7	K3	0.22337836
equal_n	7	K4	0.24030275
equal_n	7	K5	0.24611959
equal_n	7	K6	0.25201863
equal_n	7	K7	0.25116007
equal_n	8	K1	0.23876744
equal_n	8	K2	0.2467513
equal_n	8	K3	0.22019062
equal_n	8	K4	0.24030275
equal_n	8	K5	0.24089136
equal_n	8	K6	0.2475931
equal_n	8	K7	0.25107625
equal_n	9	K1	0.24319596
equal_n	9	K2	0.2448846
equal_n	9	K3	0.22081676
equal_n	9	K4	0.24030275
equal_n	9	K5	0.2400195
equal_n	9	K6	0.24616456
equal_n	9	K7	0.25107098
equal_n	10	K1	0.24072299
equal_n	10	K2	0.24439526
equal_n	10	K3	0.22063423
equal_n	10	K4	0.24030275
equal_n	10	K5	0.24304602
equal_n	10	K6	0.2501199
equal_n	10	K7	0.25041813
