window	n_pairs	max_fst	snps	n_genes	genes
2:5250000	9	0.331	47	62	---NA--- | 14 kDa proline-rich protein DC2.15 | 23.6 kDa heat shock protein, mitochondrial
1:11100000	8	0.443	47	13	SNF1-related protein kinase regulatory subunit gamma-1-like isoform X2 | alpha-amylase 3, chloroplastic | dehydrogenase subunit 6
2:5150000	8	0.331	40	62	---NA--- | 14 kDa proline-rich protein DC2.15 | 23.6 kDa heat shock protein, mitochondrial
6:6500000	7	0.449	20	8	---NA--- | E3 ubiquitin-protein ligase MARCH7 | RNA polymerases I and III subunit RPAC2
17:8800000	7	0.402	23	2	3'-hydroxylase | DExH-box ATP-dependent RNA helicase DExH14 isoform X1
8:10400000	7	0.332	47	44	---NA--- | ATPase 1-like isoform X2 | B3 domain-containing transcription repressor VAL2 isoform X1
1:12700000	7	0.294	43	14	KH domain-containing protein At4g18375 isoform X1 | anaphase-promoting complex subunit 2 | cell division cycle and apoptosis regulator protein 1
1:11150000	6	0.443	102	13	SNF1-related protein kinase regulatory subunit gamma-1-like isoform X2 | alpha-amylase 3, chloroplastic | dehydrogenase subunit 6
2:4550000	6	0.35	20	48	---NA--- | 4-epimerase 3 | 8-hydroxylase
3:5250000	6	0.341	25	9	B3 domain-containing protein At3g19184 isoform X1 | B3 domain-containing protein Os01g0234100 | autophagy-related protein 2 isoform X2
11:3250000	6	0.338	48	26	bisphosphate carboxylase/oxygenase activase, chloroplastic | histone acetyltransferase KAT6B | indole-3-pyruvate monooxygenase YUCCA2 isoform X1
8:10450000	6	0.332	50	44	---NA--- | ATPase 1-like isoform X2 | B3 domain-containing transcription repressor VAL2 isoform X1
9:1200000	6	0.332	38	8	---NA--- | 40S ribosomal protein S3-3 | protein ELF4-LIKE 4
2:5200000	6	0.331	98	62	---NA--- | 14 kDa proline-rich protein DC2.15 | 23.6 kDa heat shock protein, mitochondrial
1:13450000	6	0.322	53	3	I rhamnosyltransferase 1 | serine/threonine-protein kinase STY8 isoform X1 | transmembrane emp24 domain-containing protein p24delta9 isoform X2
1:10900000	6	0.321	23	6	---NA--- | homeobox-leucine zipper protein HAT5 | putative pentatricopeptide repeat-containing protein At5g40405
11:5050000	6	0.321	76	17	---NA--- | BRCA1-associated protein isoform X2 | GTPase-activating protein GYP7-like
1:12900000	6	0.287	53	12	anaphase-promoting complex subunit 2 | cell division cycle and apoptosis regulator protein 1 | cytochrome P450 704B1
17:7300000	6	0.282	27	61	---NA--- | 40S ribosomal protein S9-2 | ABC transporter A family member 2 isoform X2
6:18050000	6	0.278	30	6	(+)-neomenthol dehydrogenase-like | protein NUCLEAR FUSION DEFECTIVE 4 | protein NUCLEAR FUSION DEFECTIVE 4-like
7:25950000	5	0.445	28	37	---NA--- | 60S ribosomal protein L30 | ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic
1:11200000	5	0.443	65	13	SNF1-related protein kinase regulatory subunit gamma-1-like isoform X2 | alpha-amylase 3, chloroplastic | dehydrogenase subunit 6
