metadata,pc,adjusted_r2,association_strength,p_value,n_samples,n_groups,fdr,significance,cell_label
Genetic background,PC1,0.6142454719,0.6142454719,1.129637259e-83,412,5,2.259274517e-82,***,0.61***
Genetic background,PC2,0.001605874313,0.001605874313,0.3255905416,412,5,0.3720859689,,0.00
Genetic background,PC3,0.1435994378,0.1435994378,8.698685817e-14,412,5,2.899561939e-13,***,0.14***
Genetic background,PC4,0.03763612775,0.03763612775,0.000587582227,412,5,0.001237015215,**,0.04**
Genetic background,PC5,0.007507672847,0.007507672847,0.1324984331,412,5,0.1709657201,,0.01
Utilization,PC1,0.6658381794,0.6658381794,2.228815203e-91,399,7,8.915260814e-90,***,0.67***
Utilization,PC2,0.002195211308,0.002195211308,0.334877372,399,7,0.3720859689,,0.00
Utilization,PC3,0.3277381226,0.3277381226,1.822959537e-32,399,7,1.215306358e-31,***,0.33***
Utilization,PC4,0.1440260427,0.1440260427,1.494313866e-12,399,7,4.597888819e-12,***,0.14***
Utilization,PC5,0.02866436121,0.02866436121,0.007785172612,399,7,0.01371034922,*,0.03*
Berry skin color,PC1,0.3971438086,0.3971438086,1.349394466e-17,159,4,5.997308739e-17,***,0.40***
Berry skin color,PC2,0.3494762968,0.3494762968,4.633656854e-15,159,4,1.684966129e-14,***,0.35***
Berry skin color,PC3,0.03936028133,0.03936028133,0.02644509217,159,4,0.04068475718,*,0.04*
Berry skin color,PC4,0.1635480566,0.1635480566,9.599485329e-07,159,4,2.25870243e-06,***,0.16***
Berry skin color,PC5,0.01532353997,0.01532353997,0.1458640561,159,4,0.1823300702,,0.02
Flower phenotype,PC1,0.3652221751,0.3652221751,4.757628677e-32,316,3,2.718644959e-31,***,0.37***
Flower phenotype,PC2,0.1030774395,0.1030774395,1.490172455e-08,316,3,3.973793213e-08,***,0.10***
Flower phenotype,PC3,0.009048012677,0.009048012677,0.08898587744,316,3,0.1271226821,,0.01
Flower phenotype,PC4,0.00546851324,0.00546851324,0.1564545725,316,3,0.189641906,,0.01
Flower phenotype,PC5,0.02427663657,0.02427663657,0.007883450803,316,3,0.01371034922,*,0.02*
Geographic origin by region,PC1,0.4130201498,0.4130201498,9.253897628e-17,154,6,3.701559051e-16,***,0.41***
Geographic origin by region,PC2,0.5254549078,0.5254549078,1.88344395e-23,154,6,9.41721975e-23,***,0.53***
Geographic origin by region,PC3,0.1968704856,0.1968704856,4.266978914e-07,154,6,1.066744728e-06,***,0.20***
Geographic origin by region,PC4,0.2796448745,0.2796448745,2.109289716e-10,154,6,6.026542047e-10,***,0.28***
Geographic origin by region,PC5,0.02844655341,0.02844655341,0.09837434677,154,6,0.1356887542,,0.03
Bunch density,PC1,0.09977054605,0.09977054605,0.003115161878,94,3,0.005977427045,**,0.10**
Bunch density,PC2,0.04081904476,0.04081904476,0.05583211593,94,3,0.08271424582,,0.04
Bunch density,PC3,-0.0219584408,0,0.9991285881,94,3,0.9991285881,,0.00
Bunch density,PC4,0.06336217601,0.06336217601,0.01892000157,94,3,0.03027200251,*,0.06*
Bunch density,PC5,0.01722322337,0.01722322337,0.1686966572,94,3,0.1984666555,,0.02
Geographic origin by country,PC1,0.06398046418,0.06398046418,1.423593393e-06,411,4,3.163540873e-06,***,0.06***
Geographic origin by country,PC2,0.3972084565,0.3972084565,4.226488112e-45,411,4,5.635317483e-44,***,0.40***
Geographic origin by country,PC3,0.3339085411,0.3339085411,2.598025769e-36,411,4,2.078420615e-35,***,0.33***
Geographic origin by country,PC4,0.3387363154,0.3387363154,5.953262175e-37,411,4,5.953262175e-36,***,0.34***
Geographic origin by country,PC5,0.02625694014,0.02625694014,0.003138149198,411,4,0.005977427045,**,0.03**
Muscat taste,PC1,0.01805318854,0.01805318854,0.1019631393,95,2,0.1359508524,,0.02
Muscat taste,PC2,0.05489011809,0.05489011809,0.01269162025,95,2,0.02115270042,*,0.05*
Muscat taste,PC3,-0.01071899012,0,0.9557131832,95,2,0.9802186494,,0.00
Muscat taste,PC4,-0.009311382874,0,0.716368775,95,2,0.7540723948,,0.00
Muscat taste,PC5,-0.003725209344,0,0.4217678472,95,2,0.4559652402,,0.00
