PC	Eigenvalue	Explained_variance
PC1	16.7642	0.16880622275711124
PC2	9.62916	0.09696031590674566
PC3	7.99313	0.08048639859382188
PC4	6.88102	0.0692880659331276
PC5	5.56951	0.05608188554824917
PC6	5.14388	0.05179602683789561
PC7	4.74615	0.04779110569777643
PC8	4.41003	0.044406563184974136
PC9	4.14592	0.04174712154789151
PC10	3.85705	0.03883836040403455
PC11	3.70074	0.037264405149434625
PC12	3.54391	0.03568521378241456
PC13	3.21762	0.03239965393324682
PC14	3.15193	0.031738191962325774
PC15	3.10479	0.03126351823254623
PC16	2.83273	0.028524024492117238
PC17	2.73488	0.0275387291069045
PC18	2.70295	0.02721721166541403
PC19	2.63015	0.02648415592659454
PC20	2.55057	0.025682829337374005
