tip	category	k_group	max_q
TU97	Admixed	K6	0.3976
TU85	Admixed	K6	0.3644
Arm37	Admixed	K6	0.5491
TU84	Admixed	K6	0.6446
TU48	Admixed	K6	0.6028
Arm74	Admixed	K6	0.6117
Arm17	Admixed	K6	0.4704
AZ51	Admixed	K6	0.5327
AZ45	Admixed	K6	0.5107
Arm38	Admixed	K6	0.6601
Arm65	Admixed	K6	0.645
Arm27	Admixed	K6	0.6438
Arm55	Admixed	K3	0.3427
AZ70	K3	K3	0.9999
Arm19	Admixed	K3	0.5487
AZ31	Admixed	K3	0.5546
Arm49	Admixed	K3	0.5466
AZ41	Admixed	K3	0.5564
AZ63	Admixed	K3	0.5533
TU56	Admixed	K6	0.6505
TU88	Admixed	K6	0.6136
TU36	Admixed	K6	0.563
Arm80	Admixed	K6	0.4855
TU29	Admixed	K6	0.6583
TU91	K6	K6	0.8267
TU82	K6	K6	0.8395
TU39	K6	K6	0.9067
TU11	K6	K6	0.9999
TU18	K6	K6	0.9999
TU21	K6	K6	0.9999
TU46	K6	K6	0.9999
TU60	K6	K6	0.7791
TU28	Admixed	K6	0.6989
TU2	K6	K6	0.8904
TU30	K6	K6	0.845
Arm11	Admixed	K6	0.4624
TU33	Admixed	K6	0.6335
TU37	Admixed	K4	0.4527
TU93	Admixed	K6	0.5082
VA38	Admixed	K7	0.4366
VA35	Admixed	K7	0.4383
VA34	Admixed	K7	0.4255
VA31	Admixed	K7	0.6337
AZ21	Admixed	K6	0.2978
AZ59	Admixed	K7	0.4199
AZ62	Admixed	K7	0.3844
AZ58	Admixed	K7	0.3855
VA28	Admixed	K5	0.2326
Arm76	Admixed	K5	0.2333
VA29	K7	K7	0.9999
VA20	K7	K7	0.9999
VA19	K7	K7	0.9999
VA30	K7	K7	0.9999
VA18	K7	K7	0.9999
VA17	K7	K7	0.9999
VA2	Admixed	K7	0.5618
VA15	Admixed	K7	0.6647
VA14	Admixed	K7	0.6636
VA24	Admixed	K7	0.6565
VA39	Admixed	K7	0.5585
VA23	Admixed	K7	0.6684
AZ7	Admixed	K7	0.596
AZ12	Admixed	K7	0.642
TUK-8	Admixed	K5	0.6436
TUK-7	Admixed	K5	0.6631
TUG-12	K5	K5	0.7641
TUG-10	K5	K5	0.8142
TUG-9	K5	K5	0.811
TUK-9	Admixed	K5	0.6913
TUF-35	K5	K5	0.8221
TUF-14	K5	K5	0.9479
TUF-12	K5	K5	0.8859
TUF-8	K5	K5	0.9265
TUF-4	K5	K5	0.941
TUF-30	K5	K5	0.8392
TUF-11	K5	K5	0.9259
TUF-33	K5	K5	0.9356
TUF-21	K5	K5	0.9999
TUF-20	K5	K5	0.9999
TUF-19	K5	K5	0.9999
TUF-18	K5	K5	0.9433
TUF-25	K5	K5	0.9587
TUF-3	K5	K5	0.8894
TUF-27	K5	K5	0.9196
TUF-36	K5	K5	0.9892
TUF-13	K5	K5	0.9715
TUF-24	K5	K5	0.9706
TUF-29	K5	K5	0.9858
TUF-23	K5	K5	0.9999
TUF-22	K5	K5	0.9999
TUF-6	K5	K5	0.9999
TUF-5	K5	K5	0.9999
TUD-3	K5	K5	0.9999
TUD-1	K5	K5	0.9999
TUK-6	K5	K5	0.7556
AZ16	Admixed	K7	0.5399
AZ15	Admixed	K7	0.5424
AZ17	Admixed	K7	0.5403
AZ18	Admixed	K7	0.5791
AZ11	Admixed	K7	0.5079
AZ13	Admixed	K7	0.5701
AZ2	Admixed	K7	0.5478
AZ1	Admixed	K7	0.5467
AZ9	Admixed	K7	0.5492
AZ3	Admixed	K7	0.4816
AZ6	Admixed	K7	0.5281
AZ8	Admixed	K7	0.4667
AZ4	Admixed	K7	0.6598
GA14	Admixed	K7	0.6171
GA13	Admixed	K7	0.566
GA10	Admixed	K2	0.5938
GA20	Admixed	K7	0.5313
GA7	Admixed	K7	0.5344
GA18	Admixed	K7	0.5991
GA8	Admixed	K7	0.3105
GA5	Admixed	K7	0.5435
VA8	K1	K1	0.9999
VA33	K1	K1	0.9999
VA7	K1	K1	0.9999
VA9	K1	K1	0.9999
Arm89	Admixed	K1	0.5897
VA11	Admixed	K1	0.6969
VA13	Admixed	K1	0.7011
VA12	Admixed	K1	0.7024
VA3	Admixed	K1	0.7257
VA5	Admixed	K1	0.7227
VA4	Admixed	K1	0.7023
VA25	Admixed	K7	0.6235
VA16	Admixed	K1	0.6941
GA16	Admixed	K7	0.5519
VA37	Admixed	K7	0.6097
VA22	Admixed	K7	0.5803
VA59	Admixed	K1	0.5529
VA46	Admixed	K1	0.5522
VA57	Admixed	K1	0.5537
VA62	K1	K1	0.9999
VA61	K1	K1	0.9999
VA58	Admixed	K1	0.586
VA52	K1	K1	0.9549
VA51	K1	K1	0.9497
VA53	K1	K1	0.9999
VA55	K1	K1	0.9999
VA44	K1	K1	0.9999
VA43	K1	K1	0.9999
VA56	K1	K1	0.9999
VA45	K1	K1	0.9999
VA10	K1	K1	0.9999
VA36	Admixed	K7	0.5894
VA26	Admixed	K7	0.5442
Arm71	Admixed	K7	0.6041
VA1	K7	K7	0.7619
Arm73	K7	K7	0.7586
VA32	Admixed	K7	0.5883
GA4	Admixed	K7	0.4945
GA3	Admixed	K7	0.5952
GA19	Admixed	K7	0.3172
TUS-1	Admixed	K5	0.6399
GA11	Admixed	K7	0.3025
GA43	Admixed	K6	0.6422
GE38	Admixed	K6	0.6668
GE5	Admixed	K2	0.4369
GA2	Admixed	K7	0.4342
GE32	Admixed	K2	0.6506
GA49	Admixed	K2	0.7321
GE19	Admixed	K2	0.7429
GE28	Admixed	K2	0.5915
GE16	Admixed	K6	0.3749
GE9	Admixed	K2	0.5476
GE1	Admixed	K2	0.4928
GE37	Admixed	K2	0.7488
GE27	Admixed	K2	0.4441
GA47	Admixed	K2	0.6815
GE24	Admixed	K2	0.6545
GE20	Admixed	K2	0.6285
GE10	K2	K2	0.943
GE11	K2	K2	0.8839
GE8	K2	K2	0.889
GA31	K2	K2	0.9999
GE21	K2	K2	0.9999
GE3	K2	K2	0.9999
GA46	K2	K2	0.9259
GE44	Admixed	K2	0.6678
GE2	K2	K2	0.7839
GE39	Admixed	K2	0.5463
GE47	Admixed	K2	0.6542
GE43	Admixed	K2	0.5858
GA1	Admixed	K2	0.4946
GE35	Admixed	K2	0.6305
GE31	K2	K2	0.8578
GA12	Admixed	K2	0.6101
GA9	Admixed	K2	0.7317
GE42	K2	K2	0.9999
GA28	Admixed	K2	0.7033
GE33	K2	K2	0.809
GE30	K2	K2	0.9999
GA6	Admixed	K4	0.5866
GE34	Admixed	K2	0.5107
Arm50	Admixed	K2	0.5019
Arm4	Admixed	K4	0.5036
Arm1	Admixed	K4	0.5055
GE14	K2	K2	0.8308
GE29	K2	K2	0.9999
GE45	K2	K2	0.9999
GE40	K2	K2	0.9999
GE41	K2	K2	0.9112
GE13	K2	K2	0.8446
GE7	K2	K2	0.8547
GE46	K2	K2	0.8397
GE25	K2	K2	0.9999
GE23	K2	K2	0.9999
GE12	Admixed	K7	0.2989
GE18	Admixed	K2	0.4729
GE36	Admixed	K4	0.3806
GE15	Admixed	K4	0.5812
AZ54	Admixed	K4	0.528
VA63	Admixed	K4	0.4553
AZ37	Admixed	K4	0.457
Arm48	Admixed	K4	0.4548
AZ64	Admixed	K4	0.5446
AZ47	Admixed	K4	0.5484
Arm30	Admixed	K4	0.5461
TU53	Admixed	K6	0.4776
TU55	Admixed	K5	0.3941
TUG-27	Admixed	K6	0.4256
TUG-25	Admixed	K5	0.6839
TUG-22	Admixed	K5	0.477
TUG-29	Admixed	K5	0.687
TUG-21	Admixed	K5	0.6974
TUG-20	K5	K5	0.7569
TUG-19	K5	K5	0.7601
TUF-17	Admixed	K5	0.5806
TUF-28	Admixed	K5	0.4249
TUF-15	Admixed	K6	0.5298
TUF-1	Admixed	K5	0.549
TUG-4	Admixed	K5	0.6653
TUK-5	Admixed	K5	0.6726
TUK-4	Admixed	K5	0.6721
TUK-3	Admixed	K5	0.7427
TUF-16	K5	K5	0.7629
VA75	K7	K7	0.9984
VA72	K7	K7	0.9876
VA73	K7	K7	0.8082
VA76	K7	K7	0.9999
VA65	K7	K7	0.9999
VA74	K7	K7	0.9487
VA64	K7	K7	0.9486
VA77	K7	K7	0.9999
VA42	K7	K7	0.9999
Arm6	K6	K6	0.762
Arm14	Admixed	K6	0.6623
GA42	Admixed	K6	0.4721
GE22	Admixed	K6	0.5822
TU50	Admixed	K6	0.3203
TU54	Admixed	K6	0.6489
Arm53	K6	K6	0.8689
Arm34	K6	K6	0.9999
Arm92	K6	K6	0.9999
AZ43	K6	K6	0.9999
Arm45	Admixed	K6	0.4019
TU69	K6	K6	0.7763
AZ42	K6	K6	0.7598
TU17	Admixed	K6	0.7411
Arm3	Admixed	K3	0.3581
Arm58	K6	K6	0.8013
