region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00636	6112819	6116314	+	0	Vitvi13g00636	XP_002271854.1PREDICTED: uncharacterized protein C24H6.02c	6.000000
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00935	11170569	11187423	-	0	Vitvi01g00935	XP_002277155.2PREDICTED: uncharacterized protein LOC100246806	
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00937	11215486	11222457	-	0	Vitvi01g00937	XP_002270296.1PREDICTED: uncharacterized protein LOC100258796	6.000000
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00928	11088814	11094122	-	5878	Vitvi01g00928	XP_002276462.1PREDICTED: uncharacterized protein LOC100258620 isoform X1	
1:10900000-10950000	1	10900000	10950000	24	0.312774	0.312774	Vitvi01g00916	10900295	10901456	-	0	Vitvi01g00916	XP_003631284.1PREDICTED: uncharacterized protein At1g27050	1.000000
1:10900000-10950000	1	10900000	10950000	24	0.312774	0.312774	Vitvi01g00917	10905489	10907098	+	0	Vitvi01g00917	XP_003631283.1PREDICTED: uncharacterized protein LOC100853229	2.000000
6:15500000-15550000	6	15500000	15550000	57	0.302225	0.302225	Vitvi06g04333	15505320	15505637	-	0	Vitvi06g04333	CAN73398.1hypothetical protein VITISV_016436	
6:15500000-15550000	6	15500000	15550000	57	0.302225	0.302225	Vitvi06g04334	15508055	15510364	-	0	Vitvi06g04334	CAN73398.1hypothetical protein VITISV_016436	
6:15500000-15550000	6	15500000	15550000	57	0.302225	0.302225	Vitvi06g01169	15523341	15548606	+	0	Vitvi06g01169	XP_002262814.2PREDICTED: uncharacterized protein LOC100263388 isoform X1	3.000000
13:7550000-7700000	13	7550000	7700000	97	0.268595	0.294444	Vitvi13g04212	7578545	7579813	+	0	Vitvi13g04212	RVW76189.1hypothetical protein CK203_048955	1.000000
13:7550000-7700000	13	7550000	7700000	97	0.268595	0.294444	Vitvi13g04213	7590391	7591125	+	0	Vitvi13g04213	CAN65359.1hypothetical protein VITISV_036070	
13:7550000-7700000	13	7550000	7700000	97	0.268595	0.294444	Vitvi13g04214	7600511	7600795	+	0	Vitvi13g04214	XP_010646584.1PREDICTED: uncharacterized protein LOC104878240	1.000000
