pair	group_a	group_b	window	chrom	start	n_snps	n_windows	mean_window_fst	max_window_fst
K1_vs_K2	K1	K2	1:17150000	1	17150000	22	1	0.243146	0.243146
K1_vs_K2	K1	K2	2:5700000	2	5700000	65	1	0.264815	0.264815
K1_vs_K2	K1	K2	3:2850000	3	2850000	25	1	0.239975	0.239975
K1_vs_K2	K1	K2	3:5100000	3	5100000	34	1	0.26701	0.26701
K1_vs_K2	K1	K2	3:5250000	3	5250000	25	1	0.33206	0.33206
K1_vs_K2	K1	K2	6:12500000	6	12500000	44	1	0.304636	0.304636
K1_vs_K2	K1	K2	6:12650000	6	12650000	108	1	0.248453	0.248453
K1_vs_K2	K1	K2	6:13200000	6	13200000	80	1	0.249731	0.249731
K1_vs_K2	K1	K2	6:13500000	6	13500000	51	1	0.243135	0.243135
K1_vs_K2	K1	K2	7:8700000	7	8700000	88	1	0.24792	0.24792
K1_vs_K2	K1	K2	7:18500000	7	18500000	29	1	0.342169	0.342169
K1_vs_K2	K1	K2	7:18750000	7	18750000	51	1	0.247945	0.247945
K1_vs_K2	K1	K2	7:19950000	7	19950000	70	1	0.239566	0.239566
K1_vs_K2	K1	K2	8:5250000	8	5250000	141	1	0.280627	0.280627
K1_vs_K2	K1	K2	8:9200000	8	9200000	31	1	0.253512	0.253512
K1_vs_K2	K1	K2	8:18250000	8	18250000	33	1	0.238721	0.238721
K1_vs_K2	K1	K2	8:19800000	8	19800000	50	1	0.24048	0.24048
K1_vs_K2	K1	K2	8:20000000	8	20000000	30	1	0.288452	0.288452
K1_vs_K2	K1	K2	9:450000	9	450000	46	1	0.249298	0.249298
K1_vs_K2	K1	K2	9:600000	9	600000	41	1	0.239746	0.239746
K1_vs_K2	K1	K2	9:1200000	9	1200000	45	1	0.256178	0.256178
K1_vs_K2	K1	K2	9:3100000	9	3100000	82	1	0.242778	0.242778
K1_vs_K2	K1	K2	9:3550000	9	3550000	118	1	0.242228	0.242228
K1_vs_K2	K1	K2	9:4300000	9	4300000	58	1	0.279596	0.279596
K1_vs_K2	K1	K2	9:4950000	9	4950000	54	1	0.239807	0.239807
K1_vs_K2	K1	K2	9:7450000	9	7450000	83	1	0.2521	0.2521
K1_vs_K2	K1	K2	9:11100000	9	11100000	71	1	0.241574	0.241574
K1_vs_K2	K1	K2	9:13600000	9	13600000	51	1	0.300057	0.300057
K1_vs_K2	K1	K2	9:19800000	9	19800000	74	1	0.33847	0.33847
K1_vs_K2	K1	K2	9:20950000	9	20950000	78	1	0.23999	0.23999
K1_vs_K2	K1	K2	10:700000	10	700000	60	1	0.245085	0.245085
K1_vs_K2	K1	K2	10:4750000	10	4750000	23	1	0.246273	0.246273
K1_vs_K2	K1	K2	10:4950000	10	4950000	40	1	0.254449	0.254449
K1_vs_K2	K1	K2	10:16300000	10	16300000	56	1	0.258082	0.258082
K1_vs_K2	K1	K2	10:17550000	10	17550000	26	1	0.241929	0.241929
K1_vs_K2	K1	K2	11:3800000	11	3800000	45	1	0.240905	0.240905
K1_vs_K2	K1	K2	13:1300000	13	1300000	35	1	0.244973	0.244973
K1_vs_K2	K1	K2	13:6100000	13	6100000	32	1	0.241015	0.241015
K1_vs_K2	K1	K2	13:7050000	13	7050000	103	1	0.251983	0.251983
K1_vs_K2	K1	K2	13:7650000	13	7650000	60	1	0.244797	0.244797
K1_vs_K2	K1	K2	14:1550000	14	1550000	25	1	0.25095	0.25095
K1_vs_K2	K1	K2	14:3100000	14	3100000	60	1	0.264226	0.264226
K1_vs_K2	K1	K2	14:4500000	14	4500000	68	1	0.244239	0.244239
K1_vs_K2	K1	K2	14:5450000	14	5450000	50	1	0.300178	0.300178
K1_vs_K2	K1	K2	16:8800000	16	8800000	105	1	0.240157	0.240157
K1_vs_K2	K1	K2	16:11300000	16	11300000	65	1	0.270129	0.270129
K1_vs_K2	K1	K2	17:9650000	17	9650000	36	1	0.331954	0.331954
K1_vs_K2	K1	K2	17:11100000	17	11100000	46	1	0.244171	0.244171
K1_vs_K2	K1	K2	19:3900000	19	3900000	55	1	0.262083	0.262083
K1_vs_K2	K1	K2	19:5750000	19	5750000	36	1	0.282085	0.282085
K1_vs_K3	K1	K3	1:3250000	1	3250000	25	1	0.351547	0.351547
