region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00534	5149311	5154315	+	0	Vitvi02g00534	XP_002271142.1PREDICTED: uncharacterized protein LOC100255799 isoform X1	2
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g01443	5156093	5157690	-	0	Vitvi02g01443	RVW50545.1hypothetical protein CK203_074481	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g04159	5157823	5159535	+	0	Vitvi02g04159	---NA---	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00535	5166990	5171184	-	0	Vitvi02g00535	XP_002270997.1 autophagy-related protein 8f	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00536	5183546	5186817	+	0	Vitvi02g00536	XP_010662426.1 scarecrow-like protein 22 isoform X2	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g04160	5194328	5194525	+	0	Vitvi02g04160	CAN71258.1hypothetical protein VITISV_043225	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00538	5203867	5206131	-	0	Vitvi02g00538	XP_002266701.1PREDICTED: uncharacterized protein LOC100262529	1
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g04161	5208717	5209263	-	0	Vitvi02g04161	CAN71256.1hypothetical protein VITISV_043223	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g01445	5209285	5209626	-	0	Vitvi02g01445	XP_034707091.1LOW QUALITY PROTEIN: uncharacterized protein LOC117930556	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00540	5209694	5210635	-	0	Vitvi02g00540	CAN71255.1hypothetical protein VITISV_043222	1
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00541	5213268	5223024	+	0	Vitvi02g00541	XP_010662430.1PREDICTED: uncharacterized protein LOC100255681	2
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00542	5223787	5227670	+	0	Vitvi02g00542	XP_003631445.1 leukocyte receptor cluster member 1 homolog	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00543	5229168	5229816	+	0	Vitvi02g00543	XP_010662446.1PREDICTED: uncharacterized protein LOC100266073	1
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g01446	5230824	5231958	-	0	Vitvi02g01446	XP_002270632.1 23.6 kDa heat shock protein, mitochondrial	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g01447	5237150	5238009	-	0	Vitvi02g01447	XP_002270596.1 small heat shock protein, chloroplastic	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00545	5240597	5243252	-	0	Vitvi02g00545	XP_002270502.1 vesicle-associated protein 1-1	5
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00546	5244685	5253232	-	0	Vitvi02g00546	XP_002266497.2 phosphatidylinositol/phosphatidylcholine transfer protein SFH11 isoform X2	
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00547	5258771	5260228	-	0	Vitvi02g00547	XP_003631454.1 probable aspartyl protease At4g16563	2
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00548	5266644	5269091	-	0	Vitvi02g00548	XP_002266460.2 bifunctional adenosine 5'-phosphosulfate phosphorylase/adenylylsulfatase HINT4	1
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00549	5270450	5278487	+	0	Vitvi02g00549	XP_010662493.1 protein arginine N-methyltransferase 1.6	2
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00551	5279225	5307771	-	0	Vitvi02g00551	XP_002270066.1 chaperone protein dnaJ 13	4
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g00533	5146283	5148354	-	1646	Vitvi02g00533	XP_034701714.1L-lactate dehydrogenase B	4
2:5150000-5300000	2	5150000	5300000	98	0.290649	0.331396	Vitvi02g01442	5140051	5141697	+	8303	Vitvi02g01442	CBI31908.3unnamed protein product, partial	2
4:1050000-1200000	4	1050000	1200000	146	0.274170	0.325497	Vitvi04g00111	1058255	1059706	+	0	Vitvi04g00111	XP_002279283.1 putative GATA transcription factor 22	3
4:1050000-1200000	4	1050000	1200000	146	0.274170	0.325497	Vitvi04g00112	1062757	1069613	+	0	Vitvi04g00112	XP_010648358.1 glycine dehydrogenase (decarboxylating), mitochondrial	3
4:1050000-1200000	4	1050000	1200000	146	0.274170	0.325497	Vitvi04g00113	1075208	1085978	+	0	Vitvi04g00113	XP_010648359.1 serine/threonine-protein kinase EDR1	6
