gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_type,gene_name
ENSG00000160180.17,10492.627975630136,10.6256931524157,0.9215123522793648,11.530711580949513,9.237699916950806e-31,6.4285153722060656e-27,protein_coding,TFF3
ENSG00000072858.11,1230.9196228793212,6.200803607353243,0.5599860830093855,11.073138771645716,1.6936266708978174e-28,5.238199112345738e-25,protein_coding,SIDT1
ENSG00000160182.3,16381.448373682075,11.063946003083343,1.0309795368762247,10.731489430533319,7.241937521253585e-27,2.0158657284161478e-23,protein_coding,TFF1
ENSG00000173467.9,772.7804240388266,11.342316531558945,1.0594727422084846,10.705623731211562,9.57834313795074e-27,2.4238432689817888e-23,protein_coding,AGR3
ENSG00000120262.10,494.03134528226144,8.667429421211025,0.8117213839976593,10.677837977514734,1.292466676319599e-26,2.9980918668360296e-23,protein_coding,CCDC170
ENSG00000283526.2,354.8101878454975,7.009742941962947,0.683320880725467,10.258347344106996,1.0854853175132125e-24,1.7773864293116345e-21,protein_coding,PRRT1B
ENSG00000100219.17,31967.035255217677,3.754362431782994,0.3662049443485057,10.252080125412194,1.158236826592616e-24,1.7911489058351143e-21,protein_coding,XBP1
ENSG00000106541.12,19017.44553762359,7.331069173627134,0.7271496773545084,10.081925911455789,6.641144927593164e-24,8.037517834977537e-21,protein_coding,AGR2
ENSG00000168421.14,150.11813722338061,5.511048526017475,0.5597508608638424,9.845538276640577,7.165462617921079e-23,7.671454516632736e-20,protein_coding,RHOH
ENSG00000047346.13,2207.9826849080946,2.505864884328774,0.2573207593823219,9.738292745380917,2.0700274864010548e-22,1.9207095037153253e-19,protein_coding,FAM214A
ENSG00000064787.14,4562.249303020896,7.350134087319134,0.7553120313563811,9.731255139839151,2.2183857902350196e-22,1.9919673179671613e-19,protein_coding,BCAS1
ENSG00000168350.8,1364.7226283172774,5.745545257099909,0.6078140017988465,9.452801745428323,3.29880349411375e-21,2.4817701097878473e-18,protein_coding,DEGS2
ENSG00000204385.13,902.956001017994,8.03711146944182,0.8635557095472418,9.306998240629595,1.314960669602241e-20,8.71505838072571e-18,protein_coding,SLC44A4
ENSG00000121270.16,2390.728647060032,7.048358938981945,0.7792026833835823,9.045604037675279,1.4883996395225986e-19,7.967517762644433e-17,protein_coding,ABCC11
ENSG00000171587.15,436.6326127385511,10.022755838389168,1.1346602242280912,8.833266227524318,1.0166267225066932e-18,4.716470241282718e-16,protein_coding,DSCAM
ENSG00000134830.6,832.7801679251539,7.029747642337993,0.8097516936341511,8.681362073833537,3.910570810346992e-18,1.6746869088741363e-15,protein_coding,C5AR2
ENSG00000151365.2,168.32550813451482,6.929559540215625,0.816034719101856,8.49174597355666,2.0355555982528022e-17,7.455490214863815e-15,protein_coding,THRSP
ENSG00000125879.5,123.46653343293009,8.749588473538195,1.0335582414659812,8.465501142081678,2.5505361410573874e-17,8.874590502809179e-15,protein_coding,OTOR
ENSG00000214530.10,9507.117195015455,3.2526354835886035,0.38780547952260397,8.38728603730061,4.9749350756410644e-17,1.6888084483603007e-14,protein_coding,STARD10
ENSG00000009765.15,348.7809634861043,8.779342931746488,1.0469491018167316,8.385644456365666,5.044860066417176e-17,1.6919123470938376e-14,protein_coding,IYD
ENSG00000116299.17,6021.677504074518,5.989480689395091,0.7150961460032582,8.375769779869294,5.4864069299256275e-17,1.8180907535882116e-14,protein_coding,ELAPOR1
ENSG00000183036.11,252.26400857829438,7.11961776038969,0.8525144373335289,8.351316351495738,6.750634498185476e-17,2.1113557515897855e-14,protein_coding,PCP4
ENSG00000102313.9,104.18897224487063,6.010836724149747,0.7301480085923386,8.23235378774519,1.8357014347393972e-16,5.161473246202612e-14,protein_coding,ITIH6
ENSG00000161031.13,163.68507068127644,8.618604232059356,1.0515437422533362,8.19614428363264,2.482203745136177e-16,6.841051826694122e-14,protein_coding,PGLYRP2
ENSG00000114248.10,310.30708467305953,7.68581832066748,0.9449466783799254,8.133600018410053,4.167259581770914e-16,1.1153830549824534e-13,protein_coding,LRRC31
ENSG00000122735.16,135.36017283491213,3.688287063377214,0.45360642653657224,8.13102912041711,4.256610649950676e-16,1.1284477528764478e-13,protein_coding,DNAI1
ENSG00000134240.12,495.4825304752308,7.545497035546769,0.9319600367612527,8.096374026689897,5.662155341379218e-16,1.4459794136021277e-13,protein_coding,HMGCS2
ENSG00000159763.4,2389.7347538096647,10.961563452787006,1.364728427457666,8.032047425880291,9.585929874094838e-16,2.2236161997941993e-13,protein_coding,PIP
ENSG00000196208.14,8215.636414713703,6.178950859398418,0.7781568378411342,7.9404954874403995,2.0137518007606324e-15,4.3792808692166377e-13,protein_coding,GREB1
ENSG00000148513.20,925.8563376425843,10.910715274548037,1.410701349291699,7.7342488401433895,1.0401540725229711e-14,1.9968088801896153e-12,protein_coding,ANKRD30A
ENSG00000189058.9,1942.0710809708482,8.358712039002619,1.080909566366469,7.7330354907495575,1.05012005572916e-14,2.0021330048819794e-12,protein_coding,APOD
ENSG00000146476.11,4726.031794473618,2.9206902740691536,0.38058121175873316,7.674289176210582,1.663384508867396e-14,3.0663557078697243e-12,protein_coding,ARMT1
ENSG00000143412.10,1885.3407664803558,3.788373847231958,0.49551288065737725,7.6453589707013725,2.0836321247957564e-14,3.790848616066319e-12,protein_coding,ANXA9
ENSG00000197168.14,151.8642966718347,3.6706685220316038,0.485577980619722,7.55938009657458,4.049948252583806e-14,7.045897472432676e-12,protein_coding,NEK5
ENSG00000163683.12,5837.491867202004,2.577388226355564,0.34169772830909506,7.542889556538387,4.596704401192781e-14,7.898386648864337e-12,protein_coding,SMIM14
ENSG00000178568.15,326.90772034316745,6.088671171395151,0.8098841056464434,7.51795365404192,5.5640217530384005e-14,9.110594677504525e-12,protein_coding,ERBB4
ENSG00000102547.19,1180.9515287008344,2.8080839713655426,0.3760042880331887,7.468223264298736,8.128484577197509e-14,1.3003706706371831e-11,protein_coding,CAB39L
ENSG00000183044.12,2608.1610565185315,4.138171792569772,0.554972479549288,7.456535134734108,8.882741697075042e-14,1.4129142735987478e-11,protein_coding,ABAT
ENSG00000110171.21,3394.9989524261605,2.750906587021382,0.37078786937187985,7.419084641796556,1.1793253118840246e-13,1.8546722814465374e-11,protein_coding,TRIM3
