window	n_pairs	pairs	chrom	start	max_fst	min_snps	kind
2:5250000	9	K1_vs_K2,K1_vs_K6,K2_vs_K5,K2_vs_K7,K3_vs_K5,K4_vs_K5,K5_vs_K6,K5_vs_K7,K6_vs_K7	2	5250000	0.331396	47	shared
1:11100000	8	K1_vs_K7,K2_vs_K4,K2_vs_K5,K3_vs_K4,K3_vs_K7,K4_vs_K7,K5_vs_K7,K6_vs_K7	1	11100000	0.443065	47	shared
2:5150000	8	K1_vs_K2,K1_vs_K5,K2_vs_K5,K2_vs_K7,K4_vs_K7,K5_vs_K6,K5_vs_K7,K6_vs_K7	2	5150000	0.331396	40	shared
6:6500000	7	K1_vs_K3,K1_vs_K4,K1_vs_K6,K3_vs_K5,K3_vs_K7,K4_vs_K7,K6_vs_K7	6	6500000	0.448613	20	shared
17:8800000	7	K1_vs_K6,K3_vs_K4,K4_vs_K6,K4_vs_K7,K5_vs_K6,K5_vs_K7,K6_vs_K7	17	8800000	0.402433	23	shared
8:10400000	7	K1_vs_K5,K2_vs_K5,K3_vs_K5,K4_vs_K5,K4_vs_K6,K5_vs_K6,K6_vs_K7	8	10400000	0.332262	47	shared
1:12700000	7	K2_vs_K6,K2_vs_K7,K3_vs_K5,K3_vs_K7,K4_vs_K7,K5_vs_K6,K5_vs_K7	1	12700000	0.293553	43	shared
1:11150000	6	K1_vs_K7,K2_vs_K5,K3_vs_K7,K4_vs_K7,K5_vs_K7,K6_vs_K7	1	11150000	0.443065	102	shared
2:4550000	6	K2_vs_K3,K2_vs_K5,K3_vs_K5,K4_vs_K5,K5_vs_K6,K6_vs_K7	2	4550000	0.350161	20	shared
3:5250000	6	K1_vs_K2,K1_vs_K3,K2_vs_K3,K2_vs_K4,K2_vs_K6,K4_vs_K6	3	5250000	0.340683	25	shared
11:3250000	6	K1_vs_K5,K1_vs_K7,K3_vs_K4,K4_vs_K5,K4_vs_K7,K5_vs_K6	11	3250000	0.338035	48	shared
8:10450000	6	K1_vs_K5,K2_vs_K5,K3_vs_K7,K4_vs_K5,K4_vs_K7,K5_vs_K6	8	10450000	0.332262	50	shared
9:1200000	6	K1_vs_K2,K1_vs_K3,K1_vs_K5,K1_vs_K6,K2_vs_K6,K4_vs_K6	9	1200000	0.332057	38	shared
2:5200000	6	K1_vs_K2,K2_vs_K5,K2_vs_K7,K5_vs_K6,K5_vs_K7,K6_vs_K7	2	5200000	0.331396	98	shared
18:22700000	6	K1_vs_K7,K2_vs_K7,K3_vs_K7,K4_vs_K7,K5_vs_K7,K6_vs_K7	18	22700000	0.323695	77	group-driven
1:13450000	6	K1_vs_K7,K3_vs_K5,K3_vs_K7,K4_vs_K5,K4_vs_K7,K6_vs_K7	1	13450000	0.322316	53	shared
1:10900000	6	K1_vs_K7,K2_vs_K4,K3_vs_K4,K4_vs_K6,K4_vs_K7,K5_vs_K7	1	10900000	0.321439	23	shared
11:5050000	6	K1_vs_K5,K2_vs_K7,K3_vs_K7,K4_vs_K5,K5_vs_K7,K6_vs_K7	11	5050000	0.320571	76	shared
11:4700000	6	K1_vs_K5,K2_vs_K5,K3_vs_K5,K4_vs_K5,K5_vs_K6,K5_vs_K7	11	4700000	0.312508	59	group-driven
1:12900000	6	K1_vs_K6,K2_vs_K6,K2_vs_K7,K4_vs_K6,K5_vs_K6,K5_vs_K7	1	12900000	0.28714	53	shared
17:7300000	6	K2_vs_K4,K2_vs_K5,K4_vs_K5,K4_vs_K6,K5_vs_K6,K6_vs_K7	17	7300000	0.2817	27	shared
6:18050000	6	K1_vs_K7,K3_vs_K5,K3_vs_K7,K4_vs_K7,K5_vs_K6,K6_vs_K7	6	18050000	0.278427	30	shared
7:25950000	5	K1_vs_K3,K1_vs_K4,K2_vs_K3,K2_vs_K4,K4_vs_K7	7	25950000	0.444737	28	shared
1:11200000	5	K1_vs_K7,K2_vs_K5,K2_vs_K7,K4_vs_K7,K5_vs_K7	1	11200000	0.443065	65	shared
1:11250000	5	K1_vs_K7,K3_vs_K4,K4_vs_K6,K4_vs_K7,K5_vs_K7	1	11250000	0.443065	48	shared
14:11200000	5	K1_vs_K3,K1_vs_K4,K1_vs_K6,K1_vs_K7,K3_vs_K4	14	11200000	0.426647	41	shared
14:11250000	5	K1_vs_K3,K1_vs_K4,K1_vs_K6,K1_vs_K7,K3_vs_K6	14	11250000	0.426647	79	shared
7:24300000	5	K1_vs_K2,K1_vs_K3,K1_vs_K4,K3_vs_K5,K4_vs_K5	7	24300000	0.415348	34	shared
16:12650000	5	K1_vs_K2,K1_vs_K3,K1_vs_K4,K1_vs_K6,K1_vs_K7	16	12650000	0.411153	133	group-driven
11:10500000	5	K3_vs_K4,K3_vs_K5,K3_vs_K6,K3_vs_K7,K6_vs_K7	11	10500000	0.393767	35	shared
3:6250000	5	K1_vs_K3,K2_vs_K3,K2_vs_K6,K2_vs_K7,K3_vs_K4	3	6250000	0.385352	37	shared
14:8800000	5	K1_vs_K4,K1_vs_K7,K3_vs_K4,K3_vs_K6,K3_vs_K7	14	8800000	0.384688	24	shared
14:11550000	5	K1_vs_K3,K1_vs_K4,K1_vs_K6,K1_vs_K7,K3_vs_K6	14	11550000	0.376595	28	shared
13:27750000	5	K2_vs_K6,K2_vs_K7,K3_vs_K7,K4_vs_K7,K6_vs_K7	13	27750000	0.371547	45	shared
9:450000	5	K1_vs_K2,K1_vs_K3,K1_vs_K4,K1_vs_K5,K1_vs_K6	9	450000	0.370296	40	group-driven
16:7900000	5	K1_vs_K2,K1_vs_K3,K1_vs_K4,K2_vs_K3,K3_vs_K6	16	7900000	0.370151	49	shared
6:21150000	5	K1_vs_K3,K1_vs_K5,K1_vs_K6,K1_vs_K7,K2_vs_K6	6	21150000	0.361603	37	shared
13:6950000	5	K1_vs_K3,K1_vs_K4,K1_vs_K5,K1_vs_K6,K1_vs_K7	13	6950000	0.361139	70	group-driven
6:20450000	5	K1_vs_K7,K2_vs_K7,K3_vs_K7,K4_vs_K7,K5_vs_K7	6	20450000	0.360444	54	group-driven
12:17900000	5	K1_vs_K3,K2_vs_K3,K3_vs_K4,K3_vs_K7,K4_vs_K6	12	17900000	0.347254	82	shared
6:20700000	5	K2_vs_K4,K2_vs_K6,K3_vs_K5,K3_vs_K7,K4_vs_K7	6	20700000	0.332095	21	shared
17:9650000	5	K1_vs_K2,K1_vs_K3,K1_vs_K6,K1_vs_K7,K2_vs_K5	17	9650000	0.331954	33	shared
17:13000000	5	K2_vs_K5,K3_vs_K5,K4_vs_K5,K5_vs_K6,K5_vs_K7	17	13000000	0.331401	50	group-driven
6:12500000	5	K1_vs_K2,K2_vs_K3,K2_vs_K5,K2_vs_K6,K2_vs_K7	6	12500000	0.32232	39	group-driven
11:3800000	5	K1_vs_K2,K1_vs_K4,K1_vs_K5,K1_vs_K7,K4_vs_K7	11	3800000	0.316415	34	shared
9:3050000	5	K1_vs_K4,K1_vs_K5,K1_vs_K6,K5_vs_K6,K6_vs_K7	9	3050000	0.312898	43	shared
14:10550000	5	K1_vs_K4,K1_vs_K6,K1_vs_K7,K3_vs_K4,K3_vs_K6	14	10550000	0.308879	36	shared
16:22100000	5	K2_vs_K4,K2_vs_K6,K2_vs_K7,K3_vs_K4,K4_vs_K7	16	22100000	0.302671	39	shared
8:17700000	5	K1_vs_K5,K2_vs_K5,K3_vs_K5,K4_vs_K5,K5_vs_K7	8	17700000	0.3003	20	group-driven
17:6700000	5	K2_vs_K5,K2_vs_K7,K3_vs_K5,K4_vs_K5,K5_vs_K6	17	6700000	0.297885	20	shared
4:150000	5	K2_vs_K3,K2_vs_K6,K2_vs_K7,K3_vs_K6,K6_vs_K7	4	150000	0.290209	32	shared
8:10600000	5	K2_vs_K5,K2_vs_K6,K3_vs_K5,K3_vs_K7,K5_vs_K6	8	10600000	0.286683	30	shared
17:6500000	5	K2_vs_K5,K2_vs_K7,K3_vs_K5,K4_vs_K5,K5_vs_K6	17	6500000	0.284791	33	shared
17:7500000	5	K2_vs_K7,K4_vs_K5,K4_vs_K6,K5_vs_K6,K6_vs_K7	17	7500000	0.2817	39	shared
3:950000	5	K2_vs_K5,K3_vs_K5,K4_vs_K5,K4_vs_K6,K5_vs_K6	3	950000	0.270785	50	shared
14:12200000	4	K1_vs_K3,K1_vs_K4,K1_vs_K6,K1_vs_K7	14	12200000	0.418704	23	group-driven
13:6100000	4	K1_vs_K2,K1_vs_K7,K3_vs_K7,K6_vs_K7	13	6100000	0.413369	28	shared
16:12600000	4	K1_vs_K2,K1_vs_K3,K1_vs_K4,K1_vs_K6	16	12600000	0.411153	135	group-driven
8:10800000	4	K2_vs_K5,K3_vs_K4,K4_vs_K5,K4_vs_K6	8	10800000	0.40349	27	shared
13:6050000	4	K1_vs_K3,K1_vs_K6,K1_vs_K7,K6_vs_K7	13	6050000	0.400966	24	shared
14:8700000	4	K1_vs_K3,K1_vs_K4,K1_vs_K6,K2_vs_K3	14	8700000	0.394909	36	shared
